brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,8435468004697,1385834,"Portátil - Toshiba Tecra A50-C-1ZW, 15.6"" HD, i5-6200U, 8GB RAM, 500GB, Windows 10 PRO, Negro",899.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545154352,1405430,"HP Portátil - HP Notebook 15-BW065NS, 15.6"", AMD A9-9420, 8 GB RAM, 1 TB, Rojo emperatriz",459.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883445825,1384464,"Portátil - Acer Extensa 2540-3132, 15.6"" HD, i3-6006U, 4GB RAM, 500GB, Windows 10 PRO, Negro",588.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192018765771,1389610,"Portátil - HP 15-BW054NS, 15.6"", AMD A9-9420, 8BG RAM, 256 SSD M.2, AMD Radeon R5, W10, Blanco nieve",463.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883588973,1395466,"Portátil - Acer Aspire 5, A515, 15.6"", I5-7200U, 8GB, 1TB, MX130, W10",599.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191376650941,1364321,LENOVO 110-15ISK 15/I3-6006U/4/500/UMA/W10,389.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883471183,1380616,ACER A515-51G-500W/15/I5-8250U/8GB/256SSD/NG MX150 2GB/,699.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192018625051,1392022,"Portátil - HP 15-bs517ns, 15.6 pulgadas, HD, Intel Celeron N3060, 8 GB RAM, 1 TB, Windows 10,",349.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017070690,1436884,"Portátil Gaming - Asus GL504GM-ES155T, 15.6"", GeForce GTX1060, i7-8750H, 16GB, 256GB y 1TB, Negro",1799.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190151312159,1326839,"Portátil Gaming - Lenovo Ideapad Y700-15ISK, i7-6700HQ, 16GB RAM, 512GB SSD y GTX960 4GB",1599.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191800384190,1372955,"Portátil - Lenovo Ideapad 110-15IBR, 15.6"" HD, Celeron N3060, 4GB RAM, Memoria interna 1TB, Negro",349.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883320764,1372422,ACER ES1-524-97JM 15/A9-9410/12GB/1TB/UMA/W10,499.0
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,8435468004703,1385836,"Portátil - Toshiba Satellite Pro A50-C-208, 15.6"" HD, i7-6500U, 8GB RAM, 1HDD 1TB, Windows 10 PRO,",929.0
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4051528337600,1427982,"Portátil - Toshiba Satellite Pro A40-D12R, 14"", HD, Intel® Core™ i5, 2.5 GHz, RAM 4 G",699.0
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4051528231373,1341424,"Portátil - Toshiba Portege Z30-C-10W, i5-6200U, 8GB RAM, 256GB SSD, Gris metálico",1099.0
DELL,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,5397184034538,1401482,"Portátil - DELL Vostro 5471, Intel® Core™ i5-8250U, 14"", 8GB de RAM, SSD de 256GB, Windows 10 Pro",837.0
